Model,Pred,Completeness,Deletion AUC,Insertion AUC,Infidelity
ResNet-34,2,0.01970846951007843,4.822234844674869,-0.512592375278473,0.0003918177279012496
ConvNeXt-Tiny,2,0.0254533908196858,4.924926456140013,-2.369131715930238,0.0006534981137182428
ViT-B_16,2,0.0001433619431086949,2.552447917510052,-0.6419918214788243,2.0752885003805246e-08
