Model,Pred,Completeness,Deletion AUC,Insertion AUC,Infidelity
ResNet-34,2,0.9783595204353334,0.0007573374896310271,0.012006981825166171,0.0
ConvNeXt-Tiny,2,0.9782519340515136,0.002076730597764254,0.0012237921886369396,0.0
ViT-B_16,2,0.775727093219757,0.00381796876899898,0.0029788133486326096,0.0
