Model,Accuracy,AUC,Kappa,MCC
InceptionV3,0.7786885245901639,0.9198028800420657,0.8420816272619205,0.6820600066306246
ConvNeXt-Tiny,0.8306010928961749,0.9487601304320936,0.9041627153189622,0.7475427586085661
DenseNet121,0.8469945355191257,0.9480722466506706,0.877250140312932,0.7731888485721444
EfficientNet-B0,0.8415300546448088,0.9542679381677344,0.9029617631746399,0.7647484362483992
ViT-B16,0.7950819672131147,0.9237932584325209,0.8508360319873108,0.6997697175150761
ResNet50,0.8524590163934426,0.944494122311116,0.8889988790706477,0.782094588255758
ResNet34,0.8360655737704918,0.9436492448256812,0.8851190563090354,0.7610026696390942
